徽章,行走天數,地點,山名,難度,總距離(km),總時間(min),爬升高度(m),下降高度(m),地形路況,型態,最低海拔(m),最高海拔(m),所屬山系,入園證,入山證,詳細資訊,行程,區域
百岳,2,苗栗縣泰安鄉,雪山主東峰步道,3,19.3,826,1767,2164,"自然山徑,產道",環狀,1109,3886,雪山山脈,1,1,雪山主峰為臺灣第二高峰，大眾化的雪山主東峰是初階的百岳路線，一般由武陵農場內的大水池登山口出發，行經七卡山莊、哭坡後，可抵達雪山東峰，此處展望極佳，並設有一直升機停機坪，可選擇一日輕裝來回東峰。<br>繼續前行會抵達三六九山莊，在此過夜一晚後，隔日循步道進入俗稱「黑森林」的冷杉純林，出森林後雪山一號圈谷即在眼前，可親身體會其壯闊。,"day: 雪山大水池登山口 → (1.6 km, 1 h 42 m) → 七卡山莊 → (1.4 km, 1 h 49 m) → 哭坡觀景台 → (944 m, 48 m) → 雪山東峰 → (1.8 km, 59 m) → 三六九山莊

day: 三六九山莊 → (1.2 km, 1 h 11 m) → 黑森林 → (1.1 km, 1 h 26 m) → 雪山一號圈谷 → (480 m, 38 m) → 雪山主峰 → (411 m, 18 m) → 雪山一號圈谷 → (1.1 km, 47 m) → 黑森林 → (1.2 km, 49 m) → 三六九山莊 → (2.7 km, 1 h 30 m) → 哭坡觀景台 → (1.4 km, 52 m) → 七卡山莊 → (1.6 km, 52 m) → 雪山大水池登山口",中
百岳,2,嘉義縣阿里山鄉,玉山主峰步道,2,18.8,797,1660,1536,"石階步道,碎石路,岩石路",線型單向,2590,3952,玉山山脈,1,1,"玉山，臺灣的第一高峰，為百岳之首，海拔 3,952 公尺，也是東北亞最高峰。位於臺灣的中部，四周群峰環繞，被視為臺灣群山之首。玉山擁有雄偉的山容和絕佳的展望，沿途更可見豐富的林相變化，登頂後可觀賞絕美的日出景色和雲海，讓登頂玉山成為了許多人心中「一生必做的三件事」之一。一般由塔塔加登山口起登前往，沿途步道維護良好，山景變化萬千，漫步其中堪為一大享受。","day: 玉山登山口 → (1.3 km, 1 h 9 m) → 孟祿亭 → (1 km, 43 m) → 玉山前峰登山口 → (2.1 km, 1 h 42 m) → 白木林休憩亭 → (3 km, 2 h 22 m) → 排雲山莊

day: 排雲山莊 → (572 m, 41 m) → 圓峰叉路口 → (967 m, 56 m) → 主北叉路 → (158 m, 16 m) → 玉山主峰 → (841 m, 1 h 4 m) → 排雲山莊 → (2 km, 1 h 39 m) → 白木林休憩亭 → (2.1 km, 1 h 12 m) → 玉山前峰登山口 → (931 m, 43 m) → 孟祿亭 → (1.3 km, 46 m) → 玉山登山口",南
百岳,2,臺東縣海端鄉,關山嶺山至魔保來山縱走,2,12.6,555,1163,1163,"原始山徑,稜線路",縱走,2704,3176,中央山脉,0,1,魔保來山是登山界著名的三魔之一，與高雄縣桃源鄉的魔界碗山和宜蘭縣大同鄉的魔葉名病山並列。這座山以其360度的全景視野而聞名，是欣賞南橫百岳群山壯麗景色的最佳觀景平台。此路線屬探勘路線，是南台灣極據挑戰性的登山路線之一。,"day: 關山嶺山登山口 → (1.3 km, 1 h 51 m) → 關山嶺山 → (1.9 km, 1 h 23 m) → 小營地 → (917 m, 34 m) → 看天池營地

day: 看天池營地 → (625 m, 22 m) → 魔保來山 → (4.3 km, 2 h 43 m) → 向陽山屋 @ 臺東縣 → (3.4 km, 2 h 24 m) → 向陽國家森林遊樂區 @ 臺東縣",東
百岳,2,花蓮縣秀林鄉,屏風山步道,3,14.1,1096,2083,2083,"岩屑坡,原始山徑,稜線路",線型單向,2480,3250,中央山脈,1,1,"屏風山位於太魯閣國家公園境內，由合歡山區遠眺有如一座屏風，因而得名。海拔 3,250 公尺，為百岳之一，也是「中橫四辣」中的「大辣」，單攻難度高，若時間許可建議可安排二至三日行程較為寬裕。","day: 開始登山 → (1.3 km, 1 h 18 m) → 休息 → (185 m, 17 m) → 溪谷 → (116 m, 29 m) → 抖上 → (830 m, 1 h 21 m) → 扎營

day: 第二天 → (494 m, 19 m) → 水源 → (278 m, 12 m) → 標記50 → (3.2 km, 4 h 46 m) → 寬廣景觀 → (5.8 km, 6 h 38 m) → 抖上 → (1.4 km, 2 h 36 m) → 下山",東
百岳,2,宜蘭縣大同鄉,武陵二秀：桃山與喀拉業山,3,16.9,731,1686,2000,山徑,單攻,1860,3325,雪山山脈,1,0,桃山峰頂有如桃尖一般，因此得名桃山；喀拉業山則是四秀中最矮的一座，也是路途最遙遠的一座，有臺灣百岳「四大鳥山」之一的稱號。,"day: 武陵山莊 → (1.1 km, 41 m) → 松濤亭 → (4.1 km, 5 h 25 m) → 桃山山屋

day: 桃山山屋 → (171 m, 8 m) → 桃山 → (1.5 km, 38 m) → 詩崙山 → (1.3 km, 35 m) → 喀拉業山 → (1.3 km, 44 m) → 詩崙山 → (1.5 km, 50 m) → 桃山 → (155 m, 6 m) → 桃山山屋 → (4.2 km, 2 h 32 m) → 松濤亭 → (1 km, 29 m) → 武陵山莊",北
百岳,2,新竹縣尖石鄉,桃山步道,3,11.1,554,1445,1445,"山徑,箭竹坡,稜線路",線型單向,1860,3325,雪山山脈,1,0,"山容壯麗的桃山與品田、池有、喀拉業並稱「武陵四秀」，四座山頭並列於武陵農場北方，是臺灣最有名的百岳路線之一。前往桃山的路徑，由桃山瀑布進入，穿越之字形的松針防火道，路線一路陡上，單程 7.9 公里的路程需要爬升 1,400 多公尺，是具挑戰性的路線。然而登頂後可以享受絕佳展望，聖稜線、大霸、南湖群峰一覽無遺。","day: [D1]武陵山莊 → (871 m, 45 m) → [D1]松濤亭 → (3.1 km, 5 h 40 m) → [D1]桃山山屋

day: [D2]桃山山屋 → (242 m, 9 m) → [D2]桃山 → (0 m, 0 s) → [D2]桃山 → (242 m, 7 m) → [D2]桃山山屋 → (3.1 km, 2 h 3 m) → [D2]松濤亭 → (871 m, 29 m) → [D2]武陵山莊",北
百岳,2,南投縣信義鄉,玉山主峰與北峰,3,24,1069,1689,1689,"石階步道,碎石路,岩石路",線型單向,2590,3952,玉山山脈,1,1,玉山北峰為臺灣八秀之首，峰頂有臺灣最高中央氣象局氣象站，也是臺灣最高建築物。,"day: 開始登山 → (6.8 km, 4 h 23 m) → 抵達排雲山莊

day: 起登 → (3.2 km, 4 h 39 m) → 玉山北峰 → (2.2 km, 3 h 31 m) → 玉山主峰 → (0 m, 1 h 49 m) → 忘記按下山了 → (854 m, 30 m) → 抵達排雲 → (7.6 km, 5 h 1 m) → 出玉山登山口 → (2.9 km, 59 m) → 安全下山",中
百岳,2,高雄市桃源區,楠梓仙溪上南玉山,3,28.8,1128,2260,2260,"林道,溪谷,原始山徑",線型單向,900,3383,玉山山脈,1,1,"南玉山挑戰路線是玉山後四峰之一，並是玉山主脊向南的高峰之一。從塔塔加鞍部出發，這條路線蜿蜒穿過楠溪林道，讓您能夠欣賞令人驚嘆的楠梓仙溪。在途中，您會經過熊國世界以及水鹿足跡，最後爬上一個嶙峋的岩稜，攀越至南玉山。這條路線適合有豐富登山經驗的人。
請注意，這條路線屬於玉山國家公園入園申請之其他路線，入園申請需要上傳登山計畫書以供審查。第一天，您可以攜帶重裝前往楠溪橋營地過夜，然後在第二天輕裝前往南玉山。然而，請注意楠溪林道過林務局楠梓仙溪保育所後需要繞路，請留意下切點並循路徑返回楠溪林道。此外，在從巴伊車留山到南玉山的路徑不太明顯，易於與獸徑混淆，因此請確保您具有優良的路徑辨識技巧和相關登山知識。","day: 玉山登山口 @ 嘉義縣 → (5.1 km, 2 h 31 m) → Linwuju Nanxi Gongzuozhan @ 嘉義縣 → (4.8 km, 2 h 5 m) → 楠溪林道14.5K營地 @ 嘉義縣 → (2.6 km, 2 h 38 m) → 巴伊車留山 @ 高雄市

day: 巴伊車留山 @ 高雄市 → (1.8 km, 2 h 35 m) → 南玉山 @ 高雄市 → (1.8 km, 1 h 8 m) → 巴伊車留山 @ 高雄市 → (2.6 km, 1 h 30 m) → 楠溪林道14.5K營地 @ 嘉義縣 → (4.7 km, 2 h 52 m) → Linwuju Nanxi Gongzuozhan @ 嘉義縣 → (5.1 km, 3 h 29 m) → 玉山登山口 @ 嘉義縣",南
百岳,2,南投縣信義鄉,東埔上郡大下開高巷O型,3,16.8,845,2169,2169,"山徑,林道,稜線路",環狀,1200,3263,玉山山脈,1,1,【挑戰原始山林及人文臺灣】東埔上郡大山路線<挑戰級>，須具備找路和地圖判讀等能力。起點在稜線，途經箭竹林和瘦稜等地形，最終登上高度1684公尺的郡大山。往北峰，下開高山往南稜返回東埔，全長約12公里。挑戰此路線，您可以欣賞到罕見的原始山林及許多人文臺灣的元素。建議攜帶足夠的食物和飲水，穿著合適的裝備，以應對挑戰。如果您是一位經驗豐富的登山者，這條路線絕對值得一試。,"day: 東埔派出所 → (4.7 km, 5 h 17 m) → 紅檜平台 → (2.5 km, 3 h 34 m) → 郡大南鞍營地 @ 南投縣

day: 郡大南鞍營地 @ 南投縣 → (259 m, 16 m) → 郡大山 → (1.4 km, 38 m) → 郡大山北峰 → (1.6 km, 45 m) → 望鄉山 @ 南投縣 → (2.6 km, 1 h 31 m) → 開高山 → (493 m, 16 m) → 開高山南山 → (588 m, 24 m) → 開高山南峰 @ 南投縣 → (2.4 km, 1 h 22 m) → 東埔派出所",中
百岳,2,臺中市和平區,武陵二秀：品田山與池有山,2,19.2,889,1615,1615,"山徑,箭竹坡,岩稜",縱走,1860,3524,雪山山脈,1,0,品田山是四秀之最高峰，登頂前需過 V 斷較危險，若天候不佳則不建議前往；池有山是其中較平緩的山頭，介於池有山與新達山屋間的山徑上有一棵造型特殊的「池有名樹」，是池有山步道上的著名地標。,"day: 開始登山 → (3.9 km, 1 h 11 m) → 池有品田登山口 → (397 m, 30 m) → 0.5k → (611 m, 34 m) → 1.1k → (389 m, 33 m) → 1.5k → (498 m, 49 m) → 2k → (1.4 km, 2 h 19 m) → 三叉營地 → (0 m, 1 h 52 m) → 完登池有山下徹 → (212 m, 22 m) → 煮午餐 → (811 m, 2 h 2 m) → 新達池 → (284 m, 19 m) → 抵達新達山屋

day: 第二天起登 → (1.4 km, 2 h 21 m) → 登頂準備下撤 → (1.6 km, 1 h 43 m) → 返回山屋 → (0 m, 1 h 10 m) → 新達山屋開始返程 → (999 m, 1 h 16 m) → 返回池有山0.3k登山口 → (2.3 km, 1 h 52 m) → 1.2k回程休 → (0 m, 48 m) → 返回登山口 → (1.7 km, 43 m) → 巧遇藍腹鷴（一公一母） → (465 m, 10 m) → 安全下山",中
百岳,2,花蓮縣秀林鄉,卯畢羊縱走,2,18.7,1017,1388,1388,"山徑,稜線路,箭竹坡",縱走,2800,3371,中央山脈,1,1,合歡越嶺古道起登，經卯木山、畢祿南峰、鋸齒連峰、畢祿山、羊頭山，最後出慈恩隧道。可探訪日治時期合歡越嶺古道、中橫公路開發演變之人文地景，是一條具有文化、自然與挑戰的縱走路線。,"day: 開始登山 → (1 km, 54 m) → 卯木山 → (2.4 km, 2 h 35 m) → 觀原駐在所 → (3 km, 3 h 23 m) → 小完美谷營地

day: 繼續記錄 → (283 m, 24 m) → 畢祿山南峰 → (1.2 km, 2 h 25 m) → 畢祿山 → (732 m, 1 h 4 m) → 鋸齒三峰 → (162 m, 31 m) → 鋸山 → (1.4 km, 1 h 21 m) → 鋸東山屋 → (139 m, 9 m) → 鋸山東峰 → (217 m, 10 m) → 羊畢三叉路 → (811 m, 59 m) → 羊頭山 → (1.7 km, 2 h 55 m) → 安全下山",東
百岳,2,南投縣仁愛鄉,畢羊縱走,3,18.2,1841,1682,1841,"山徑,稜線路,岩稜",縱走,2800,3371,中央山脈,1,1,"畢羊縱走是由畢祿山出發、經鋸齒連峰、至羊頭山的縱走路線，陡上陡下的地形變化極具挑戰性。一般安排為兩天行程，由820 林道出發，步行 8.4 公里至畢祿登山口，陡上約 800 公尺至畢祿山頂，紮營於稜線，隔日續爬鋸齒連峰和羊頭山，再一路陡下 1,000 多公尺至慈恩登山口，結束縱走。可以一次完成兩座「中橫四辣」。","day: 820林道 0K處 → (844 m, 23 m) → 1K處 → (1.9 km, 33 m) → 3K處 → (2 km, 49 m) → 5K處 → (279 m, 7 m) → 木梯🪜 → (2.3 km, 55 m) → 7.5K處 工寮營地 → (876 m, 33 m) → 8.4K處 畢祿山登山口 → (439 m, 1 h 46 m) → 9K處 → (449 m, 1 h 7 m) → 六尺大絕壁 → (237 m, 59 m) → 10K處 → (103 m, 40 m) → 10.2K處 畢祿羊頭三叉口 → (105 m, 12 m) → 3300M 畢祿營地

day: 3371M 畢祿山三角點 → (1.1 km, 1 h 56 m) → 3275M 1.1K處 鉅山三角點 → (58 m, 38 m) → 1.3K處 第二處攀岩 → (1.5 km, 1 h 33 m) → 3.0K處  → (531 m, 28 m) → 3.8K處 畢祿羊頭三叉口 → (895 m, 1 h 20 m) → 4.1K處 羊頭山三角點 → (32 m, 17 m) → 回程-羊頭山三角點下 → (912 m, 54 m) → 回程 3.8K三叉口處 → (362 m, 36 m) → 2.5K處 → (1.2 km, 1 h 31 m) → 1.0K處 → (85 m, 7 m) → 第一處鐵梯 → (296 m, 20 m) → 第二處鐵梯 → (278 m, 24 m) → 0K處 羊頭山登山口",中
百岳,3,花蓮縣秀林鄉,奇萊主北 - 奇萊主山、奇萊主山北峰,2,21.5,831,1546,1546,"山徑,稜線路,碎石坡",縱走,2435,3560,中央山脈,1,1,奇萊主北指的是奇萊主山與奇萊主山北峰兩座百岳，是十分受山友歡迎的進階百岳路線。其中奇萊主山北峰更是百岳「一奇」與「十峻」，險峻的山勢、壯麗的景色，只要親身經歷過就再也難以忘懷。,"day: 奇萊登山口，滑雪山莊 → (1.3 km, 48 m) → 小奇萊 → (2.1 km, 1 h 4 m) → 黑水塘山屋 → (839 m, 40 m) → 成功山屋

day: 成功山屋 → (1.3 km, 1 h 44 m) → 稜線營地 → (0 m, 2 m) → 奇萊山屋 → (79 m, 2 m) → 稜線營地 → (1.4 km, 1 h 16 m) → 奇萊北峰 → (1.3 km, 45 m) → 稜線營地 → (0 m, 2 m) → 奇萊山屋

day: 奇萊山屋 → (3.1 km, 1 h 59 m) → 奇萊主山 → (3.1 km, 1 h 35 m) → 奇萊山屋 → (0 m, 2 m) → 稜線營地 → (1.4 km, 46 m) → 成功山屋 → (810 m, 26 m) → 黑水塘山屋 → (2.2 km, 1 h 51 m) → 小奇萊 → (1.3 km, 45 m) → 奇萊登山口，滑雪山莊",東
百岳,3,南投縣仁愛鄉,奇萊南華 - 奇萊南峰、南華山,3,39.5,1442,2398,2398,"山徑,稜線路,原始山徑",縱走,2280,3473,中央山脈,1,1,"【2024.08.08 更新】能高越嶺歩道西段及天池山莊將延長休園至 113 年 12 月 31 日。
詳情請見公告：https://tconline.forest.gov.tw/news/index.php?mode=data&id=474

「奇萊南華」過去是十分熱門的初階百岳路線，可登頂奇萊主山南峰（奇萊南峰）與南華山兩座百岳。一般安排為兩天一夜或三天兩夜行程，由屯原登山口出發後，行經平緩好走的能高越嶺古道西段 13 公里後可抵達天池山莊，隔天再登頂奇萊南峰與南華山。<br>此路線最為人嚮往的就是上行至稜線後，可盡覽一望無際的高山草原，尤其在晨曦映照下呈現金黃色，就是山友們夢寐以求的「黃金大草原」美景。<br>至南華山後可選擇由此處下切至光被八表碑，再接回天池山莊，途中可一覽卡賀爾山、能高主峰連綿的稜線，秀麗絕倫。唯需注意此段路線陡下不算好走，需審慎評估體力與天氣再前往。","day: 開始記錄
雲天宮登山口 → (867 m, 1 h) → 高繞次高點，2425峰 → (309 m, 19 m) → 景色初露 → (52 m, 20 m) →  → (99 m, 12 m) → 第15黃標（共28個黃標，我猜高繞一共2.8K） → (65 m, 8 m) → 高繞最高點，尾上山2532峰 → (1.1 km, 46 m) → 看到28黃標，代表高繞結束，接回能高越野古道西段 → (1.3 km, 29 m) → 第一座吊橋 → (368 m, 8 m) → 4.5 K 雲海保線所 → (34 m, 3 m) → 暫停記錄 在保線所休息約半小時用中餐，有洗手間可使用 → (596 m, 38 m) →  → (319 m, 20 m) → 6K 小崩壁 → (52 m, 4 m) → 6.5 K大崩壁 → (2.5 km, 1 h 24 m) → 木炭窯遺址 → (1 km, 39 m) → 9 K → (272 m, 8 m) →  → (297 m, 14 m) → 9.5 K，可欣賞10 K的大崩壁 → (344 m, 12 m) → 10 K大崩壁前的告示牌，說明10 K大崩壁如果封閉的高繞選擇！還好10 K有通，不然走這段高繞會大崩潰😅 → (62 m, 6 m) → 10 K大崩壁前的警示牌，請勿逗留 → (838 m, 25 m) → 猴板凳 → (1.5 km, 56 m) → 第二座吊橋 → (267 m, 6 m) → 第三座吊橋，往左側可進入能高瀑布 → (317 m, 14 m) → 到達天池山莊，第一天行程結束，共行進9小時，16公里，爬升1076公尺

day: 繼續記錄
第二天四點起登，朝南華山出發看日出 → (970 m, 47 m) → 停機坪 → (0 m, 3 m) → 天池，奇萊南峰與南華山分义點，南華山走右邊 → (1.2 km, 42 m) → 從天池後進入草原區，平緩好走，東方已現晨曦，之後登上南華三角點看日出，生平第一座百岳 → (1.6 km, 2 h 41 m) → 往奇萊南峰前進 → (277 m, 21 m) → 沒爬過這麼陡的險坡 → (176 m, 15 m) → 由於手機電力不足，人生第二座百岳請同學提供照片 → (101 m, 13 m) → 太陽光有夠會咬人 → (1.4 km, 3 h 18 m) → 暫停記錄
中午返回天池山莊休息補眠
爬奇萊南華共行走12公里，8小時24分，爬升664公尺 → (0 m, 3 h 21 m) → 繼續記錄
休息近四小時，往光被八表前進 → (0 m, 2 m) → 往能高主峰分义點 → (790 m, 16 m) → 很曖昧的兩顆樹☺️ → (1.5 km, 28 m) → 往銅門46公里😳😳 → (44 m, 3 m) → 往光被八表分义點 → (0 m, 2 m) → 光被八表，可惜白牆，沒夕陽可看 → (2.6 km, 55 m) → 回到天池山莊 → (0 m, 1 m) → 暫停記錄
沒想到在天池山莊太陽短暫露臉，也算是看到夕陽了

光被八表來回共行走6公里，2小時，爬升高度111公尺，算是最輕鬆愉快的行程 

2/29行程結束

day: 繼續記錄
3/1 第三天行程，7:30自山莊出發，只有4度且一片白牆，希望趕在下雨前回雲天宮登山口 → (5.7 km, 1 h 41 m) → 看到6.5 K大崩壁 → (1.1 km, 25 m) → 大崩壁 → (261 m, 11 m) → 走完6.5 K大崩壁 → (1.4 km, 32 m) → 雲海保線所 → (0 m, 1 m) → 暫停記錄 → (2.4 km, 1 h 26 m) → 下雨了，變裝中 → (171 m, 20 m) → 高繞最高點 → (669 m, 1 h 41 m) → 滿臉疲憊到達雲天宮登山口
第三天共走了15.7公里，6小時18分，上升386公尺",中
百岳,3,新竹縣尖石鄉,武陵四秀,3,25.7,1082,2478,2478,"山徑,稜線路,岩稜",縱走,1860,3524,雪山山脈,1,0,武陵四秀指的是橫列在武陵農場北緣的四座百岳，由西至東，依序是品田山、池有山、桃山、喀拉業山。這是一條非常受歡迎的百岳路線，一般會安排三天兩夜走完。其中品田山因為要過 V 斷較危險，若天候不佳則不建議前往。,"day: 武陵山莊 → (1.1 km, 43 m) → 松濤亭 → (5.6 km, 5 h 57 m) → 三叉營地 → (39 m, 10 m) → 池有山登山口 → (203 m, 8 m) → 池有山 → (255 m, 10 m) → 池有名樹

day: 新達山屋 → (1.2 km, 1 h 8 m) → 品田山前峰 → (216 m, 12 m) → 品田山 → (1.4 km, 46 m) → 新達山屋 → (1.2 km, 43 m) → 池有山登山口 → (0 m, 4 m) → 三叉營地

day: 桃山山屋 → (222 m, 11 m) → 桃山 → (1.4 km, 38 m) → 詩崙山 → (1.3 km, 38 m) → 喀拉業山 → (2.9 km, 1 h 38 m) → 桃山 → (84 m, 6 m) → 桃山山屋 → (4.1 km, 2 h 36 m) → 松濤亭 → (1.1 km, 29 m) → 武陵山莊",北
百岳,3,花蓮縣秀林鄉,卡賀爾山與能高山,3,42.7,1469,2532,2532,"山徑,稜線路,碎石坡",縱走,1400,3262,中央山脈,1,1,"【能高山 & 卡賀爾山登山步道】
能高山和卡賀爾山是臺灣北部的兩座經典山嶽，對於愛好登山的人來說，這兩條路線是不容錯過的。能高山海拔3262公尺，位列百岳之一，山形尖峰如金字塔，頂峰遍佈箭竹草原。卡賀爾山海拔3105公尺，雖不是百岳，但其牛角狀的山體造型十分獨特，讓人一眼就能夠識別。
這兩座山都是北三段（能高安東軍）縱走必經之路，兩旁的箭竹林和芒草高大濃密，必須雙手用力撥草尋找路跡，而且因往往含有露水，可能會濕身。天氣不佳時，強風驟雨會幹擾行進，容易迷路且失溫，算是一個相對困難的登山步道。
但當你走過高大箭竹林的障礙，到達上稜線後，便會見到美景無限。能高山主峰和南峰的綿延山勢，以及奇萊連峰、能高連峰、廬山六寶等山嶽美景，一覽無遺。沿途繞過鳥嘴尖山壯觀的大岩體後，再經過數個假山頭，便可到達登山路線的終點——能高山主峰。步道沿途不設特別的設施，但絕美的景致絕對會讓您為之一振，值得一遊。","day: 屯原登山口 → (4.6 km, 3 h 6 m) → 雲海保線所 → (8.6 km, 5 h 38 m) → 能高瀑布 → (313 m, 10 m) → 天池山莊

day: 天池山莊 → (2.7 km, 1 h 13 m) → 光被八表 → (3.1 km, 2 h 5 m) → 卡賀爾山 @ 花蓮縣 → (2 km, 1 h 21 m) → 能高山 @ 花蓮縣 → (7.5 km, 3 h 53 m) → 天池山莊

day: 天池山莊 → (311 m, 13 m) → 能高瀑布 → (8.6 km, 4 h 29 m) → 雲海保線所 → (4.7 km, 2 h 18 m) → 屯原登山口",東
